stt,name,content,Type
251,Kunze,"K-Kraftvoll, U-Unkompliziert, N-Nahbar, Z-Zusammenhaltend, E-Echt",
252,Kurz,"K-Kraftvoll, U-Unkompliziert, R-Respektvoll, Z-Zusammenhaltend",
253,Lang,"L-Liebevoll, A-Achtsam, N-Nahbar, G-Geliebt",
254,Lange,"L-Liebevoll, A-Achtsam, N-Nahbar, G-Geliebt, E-Echt",
255,Langer,"L-Liebevoll, A-Achtsam, N-Nahbar, G-Geliebt, E-Echt, R-Respektvoll",
256,Langner,"L-Liebevoll, A-Achtsam, N-Nahbar, G-Geliebt, N-Natürlich, E-Echt, R-Respektvoll",
257,Lauer,"L-Liebevoll, A-Achtsam, U-Unkompliziert, E-Echt, R-Respektvoll",
258,Lechner,"L-Liebevoll, E-Echt, C-Charakterstark, H-Herzlich, N-Nahbar, E-Ehrlich, R-Respektvoll",
259,Lehmann,"L-Liebevoll, E-Echt, H-Herzlich, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
260,Lemke,"L-Liebevoll, E-Echt, M-Menschlich, K-Kraftvoll, E-Ehrlich",
261,Lenz,"L-Liebevoll, E-Echt, N-Nahbar, Z-Zusammenhaltend",
262,Lindemann,"L-Liebevoll, I-Innig, N-Nahbar, D-Dankbar, E-Echt, M-Menschlich, A-Achtsam, N-Natürlich, N-Nett",
263,Lindner,"L-Liebevoll, I-Innig, N-Nahbar, D-Dankbar, N-Natürlich, E-Echt, R-Respektvoll",
264,Link,"L-Liebevoll, I-Innig, N-Nahbar, K-Kraftvoll",
265,Linke,"L-Liebevoll, I-Innig, N-Nahbar, K-Kraftvoll, E-Echt",
266,Lohmann,"L-Liebevoll, O-Offen, H-Herzlich, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
267,Lorenz,"L-Liebevoll, O-Offen, R-Respektvoll, E-Echt, N-Nahbar, Z-Zusammenhaltend",
268,Ludwig,"L-Liebevoll, U-Unkompliziert, D-Dankbar, W-Warmherzig, I-Innig, G-Geliebt",
269,Lutz,"L-Liebevoll, U-Unkompliziert, T-Treu, Z-Zusammenhaltend",
270,Lux,"L-Liebevoll, U-Unkompliziert, X-eXtra-verbunden",
271,Maas,"M-Menschlich, A-Achtsam, A-Aufrichtig, S-Stark",
272,Mack,"M-Menschlich, A-Achtsam, C-Charakterstark, K-Kraftvoll",
273,Mai,"M-Menschlich, A-Achtsam, I-Innig",
274,Maier,"M-Menschlich, A-Achtsam, I-Innig, E-Echt, R-Respektvoll",
275,Mann,"M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
276,Marquardt,"M-Menschlich, A-Achtsam, R-Respektvoll, Q-Qualitätsbewusst, U-Unkompliziert, A-Aufrichtig, R-Ruhig, D-Dankbar, T-Treu",
277,Martens,"M-Menschlich, A-Achtsam, R-Respektvoll, T-Treu, E-Echt, N-Nahbar, S-Stark",
278,Martin,"M-Menschlich, A-Achtsam, R-Respektvoll, T-Treu, I-Innig, N-Nahbar",
279,Marx,"M-Menschlich, A-Achtsam, R-Respektvoll, X-eXtra-verbunden",
280,Maurer,"M-Menschlich, A-Achtsam, U-Unkompliziert, R-Respektvoll, E-Echt, R-Ruhig",
281,May,"M-Menschlich, A-Achtsam, Y-Young-at-heart",
282,Mayer,"M-Menschlich, A-Achtsam, Y-Young-at-heart, E-Echt, R-Respektvoll",
283,Mayr,"M-Menschlich, A-Achtsam, Y-Young-at-heart, R-Respektvoll",
284,Meier,"M-Menschlich, E-Echt, I-Innig, E-Ehrlich, R-Respektvoll",
285,Meister,"M-Menschlich, E-Echt, I-Innig, S-Stark, T-Treu, E-Ehrlich, R-Respektvoll",
286,Menzel,"M-Menschlich, E-Echt, N-Nahbar, Z-Zusammenhaltend, E-Ehrlich, L-Liebevoll",
287,Merkel,"M-Menschlich, E-Echt, R-Respektvoll, K-Kraftvoll, E-Ehrlich, L-Liebevoll",
288,Mertens,"M-Menschlich, E-Echt, R-Respektvoll, T-Treu, E-Ehrlich, N-Nahbar, S-Stark",
289,Merz,"M-Menschlich, E-Echt, R-Respektvoll, Z-Zusammenhaltend",
290,Metz,"M-Menschlich, E-Echt, T-Treu, Z-Zusammenhaltend",
291,Metzger,"M-Menschlich, E-Echt, T-Treu, Z-Zusammenhaltend, G-Geliebt, E-Ehrlich, R-Respektvoll",
292,Meyer,"M-Menschlich, E-Echt, Y-Young-at-heart, E-Ehrlich, R-Respektvoll",
293,Michel,"M-Menschlich, I-Innig, C-Charakterstark, H-Herzlich, E-Echt, L-Liebevoll",
294,Michels,"M-Menschlich, I-Innig, C-Charakterstark, H-Herzlich, E-Echt, L-Liebevoll, S-Stark",
295,Miller,"M-Menschlich, I-Innig, L-Liebevoll, L-Loyal, E-Echt, R-Respektvoll",
296,Mohr,"M-Menschlich, O-Offen, H-Herzlich, R-Respektvoll",
297,Moll,"M-Menschlich, O-Offen, L-Liebevoll, L-Loyal",
298,Moritz,"M-Menschlich, O-Offen, R-Respektvoll, I-Innig, T-Treu, Z-Zusammenhaltend",
299,Moser,"M-Menschlich, O-Offen, S-Stark, E-Echt, R-Respektvoll",
300,Nagel,"N-Nahbar, A-Achtsam, G-Geliebt, E-Echt, L-Liebevoll",
301,Naumann,"N-Nahbar, A-Achtsam, U-Unkompliziert, M-Menschlich, A-Aufrichtig, N-Natürlich, N-Nett",
302,Neubauer,"N-Nahbar, E-Echt, U-Unkompliziert, B-Beständig, A-Achtsam, U-Umsichtig, E-Ehrlich, R-Respektvoll",
303,Neubert,"N-Nahbar, E-Echt, U-Unkompliziert, B-Beständig, E-Ehrlich, R-Respektvoll, T-Treu",
304,Neugebauer,"N-Nahbar, E-Echt, U-Unkompliziert, G-Geliebt, E-Ehrlich, B-Beständig, A-Achtsam, U-Umsichtig, E-Engagiert, R-Respektvoll",
305,Neuhaus,"N-Nahbar, E-Echt, U-Unkompliziert, H-Herzlich, A-Achtsam, U-Umsichtig, S-Stark",
306,Neumann,"N-Nahbar, E-Echt, U-Unkompliziert, M-Menschlich, A-Achtsam, N-Natürlich, N-Nett",
307,Nickel,"N-Nahbar, I-Innig, C-Charakterstark, K-Kraftvoll, E-Echt, L-Liebevoll",
308,Niemann,"N-Nahbar, I-Innig, E-Echt, M-Menschlich, A-Achtsam, N-Natürlich, N-Nett",
309,Noack,"N-Nahbar, O-Offen, A-Achtsam, C-Charakterstark, K-Kraftvoll",
310,Noll,"N-Nahbar, O-Offen, L-Liebevoll, L-Loyal",
311,Nolte,"N-Nahbar, O-Offen, L-Liebevoll, T-Treu, E-Echt",
312,Nowak,"N-Nahbar, O-Offen, W-Warmherzig, A-Achtsam, K-Kraftvoll",
313,Opitz,"O-Offen, P-Positiv, I-Innig, T-Treu, Z-Zusammenhaltend",
314,Oswald,"O-Offen, S-Stark, W-Warmherzig, A-Achtsam, L-Liebevoll, D-Dankbar",
315,Ott,"O-Offen, T-Treu, T-Tatkräftig",
316,Otte,"O-Offen, T-Treu, T-Tatkräftig, E-Echt",
317,Otto,"O-Offen, T-Treu, T-Tatkräftig, O-Optimistisch",
318,Pape,"P-Positiv, A-Achtsam, P-Präsent, E-Echt",
319,Paul,"P-Positiv, A-Achtsam, U-Unkompliziert, L-Liebevoll",
320,Peter,"P-Positiv, E-Echt, T-Treu, E-Ehrlich, R-Respektvoll",
321,Peters,"P-Positiv, E-Echt, T-Treu, E-Ehrlich, R-Respektvoll, S-Stark",
322,Petersen,"P-Positiv, E-Echt, T-Treu, E-Ehrlich, R-Respektvoll, S-Stark, E-Engagiert, N-Nahbar",
323,Petzold,"P-Positiv, E-Echt, T-Treu, Z-Zusammenhaltend, O-Offen, L-Liebevoll, D-Dankbar",
324,Pfaff,"P-Positiv, F-Familienstark, A-Achtsam, F-Fest-verbunden, F-Freundschaftlich",
325,Pfeifer,"P-Positiv, F-Familienstark, E-Echt, I-Innig, F-Fest-verbunden, E-Ehrlich, R-Respektvoll",
326,Pfeiffer,"P-Positiv, F-Familienstark, E-Echt, I-Innig, F-Fest-verbunden, F-Freundschaftlich, E-Ehrlich, R-Respektvoll",
327,Philipp,"P-Positiv, H-Herzlich, I-Innig, L-Liebevoll, I-Inspirierend, P-Präsent, P-Pflichtbewusst",
328,Pieper,"P-Positiv, I-Innig, E-Echt, P-Präsent, E-Ehrlich, R-Respektvoll",
329,Pietsch,"P-Positiv, I-Innig, E-Echt, T-Treu, S-Stark, C-Charakterstark, H-Herzlich",
330,Pohl,"P-Positiv, O-Offen, H-Herzlich, L-Liebevoll",
331,Popp,"P-Positiv, O-Offen, P-Präsent, P-Pflichtbewusst",
332,Prinz,"P-Positiv, R-Respektvoll, I-Innig, N-Nahbar, Z-Zusammenhaltend",
333,Probst,"P-Positiv, R-Respektvoll, O-Offen, B-Beständig, S-Stark, T-Treu",
334,Raab,"R-Respektvoll, A-Achtsam, A-Aufrichtig, B-Beständig",
335,Rabe,"R-Respektvoll, A-Achtsam, B-Beständig, E-Echt",
336,Radtke,"R-Respektvoll, A-Achtsam, D-Dankbar, T-Treu, K-Kraftvoll, E-Echt",
337,Rapp,"R-Respektvoll, A-Achtsam, P-Positiv, P-Präsent",
338,Rath,"R-Respektvoll, A-Achtsam, T-Treu, H-Herzlich",
339,Rau,"R-Respektvoll, A-Achtsam, U-Unkompliziert",
340,Rauch,"R-Respektvoll, A-Achtsam, U-Unkompliziert, C-Charakterstark, H-Herzlich",
341,Rausch,"R-Respektvoll, A-Achtsam, U-Unkompliziert, S-Stark, C-Charakterstark, H-Herzlich",
342,Reich,"R-Respektvoll, E-Echt, I-Innig, C-Charakterstark, H-Herzlich",
343,Reichel,"R-Respektvoll, E-Echt, I-Innig, C-Charakterstark, H-Herzlich, E-Ehrlich, L-Liebevoll",
344,Reichert,"R-Respektvoll, E-Echt, I-Innig, C-Charakterstark, H-Herzlich, E-Ehrlich, R-Ruhig, T-Treu",
345,Reimann,"R-Respektvoll, E-Echt, I-Innig, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
346,Reimer,"R-Respektvoll, E-Echt, I-Innig, M-Menschlich, E-Ehrlich, R-Ruhig",
347,Reinhardt,"R-Respektvoll, E-Echt, I-Innig, N-Nahbar, H-Herzlich, A-Achtsam, R-Ruhig, D-Dankbar, T-Treu",
348,Reiter,"R-Respektvoll, E-Echt, I-Innig, T-Treu, E-Ehrlich, R-Ruhig",
349,Renner,"R-Respektvoll, E-Echt, N-Nahbar, N-Natürlich, E-Ehrlich, R-Ruhig",
350,Reuter,"R-Respektvoll, E-Echt, U-Unkompliziert, T-Treu, E-Ehrlich, R-Ruhig",
351,Richter,"R-Respektvoll, I-Innig, C-Charakterstark, H-Herzlich, T-Treu, E-Echt, R-Ruhig",
352,Riedel,"R-Respektvoll, I-Innig, E-Echt, D-Dankbar, E-Ehrlich, L-Liebevoll",
353,Riedl,"R-Respektvoll, I-Innig, E-Echt, D-Dankbar, L-Liebevoll",
354,Rieger,"R-Respektvoll, I-Innig, E-Echt, G-Geliebt, E-Ehrlich, R-Ruhig",
355,Ritter,"R-Respektvoll, I-Innig, T-Treu, T-Tatkräftig, E-Echt, R-Ruhig",
356,Rohde,"R-Respektvoll, O-Offen, H-Herzlich, D-Dankbar, E-Echt",
357,Rose,"R-Respektvoll, O-Offen, S-Stark, E-Echt",
358,Roth,"R-Respektvoll, O-Offen, T-Treu, H-Herzlich",
359,Rothe,"R-Respektvoll, O-Offen, T-Treu, H-Herzlich, E-Echt",
360,Rother,"R-Respektvoll, O-Offen, T-Treu, H-Herzlich, E-Echt, R-Ruhig",
361,Rudolph,"R-Respektvoll, U-Unkompliziert, D-Dankbar, O-Offen, L-Liebevoll, P-Positiv, H-Herzlich",
362,Ruf,"R-Respektvoll, U-Unkompliziert, F-Familienstark",
363,Runge,"R-Respektvoll, U-Unkompliziert, N-Nahbar, G-Geliebt, E-Echt",
364,Rupp,"R-Respektvoll, U-Unkompliziert, P-Positiv, P-Präsent",
365,Sander,"S-Stark, A-Achtsam, N-Nahbar, D-Dankbar, E-Echt, R-Respektvoll",
366,Sauer,"S-Stark, A-Achtsam, U-Unkompliziert, E-Echt, R-Respektvoll",
367,Sauter,"S-Stark, A-Achtsam, U-Unkompliziert, T-Treu, E-Echt, R-Respektvoll",
368,Schade,"S-Stark, C-Charakterstark, H-Herzlich, A-Achtsam, D-Dankbar, E-Echt",
369,Schaller,"S-Stark, C-Charakterstark, H-Herzlich, A-Achtsam, L-Liebevoll, L-Loyal, E-Echt, R-Respektvoll",
370,Scharf,"S-Stark, C-Charakterstark, H-Herzlich, A-Achtsam, R-Respektvoll, F-Familienstark",
371,Scheffler,"S-Stark, C-Charakterstark, H-Herzlich, E-Echt, F-Familienstark, F-Fest-verbunden, L-Liebevoll, E-Ehrlich, R-Respektvoll",
372,Schenk,"S-Stark, C-Charakterstark, H-Herzlich, E-Echt, N-Nahbar, K-Kraftvoll",
373,Scherer,"S-Stark, C-Charakterstark, H-Herzlich, E-Echt, R-Respektvoll, E-Ehrlich, R-Ruhig",
374,Schick,"S-Stark, C-Charakterstark, H-Herzlich, I-Innig, C-Charmant, K-Kraftvoll",
375,Schiller,"S-Stark, C-Charakterstark, H-Herzlich, I-Innig, L-Liebevoll, L-Loyal, E-Echt, R-Respektvoll",
376,Schilling,"S-Stark, C-Charakterstark, H-Herzlich, I-Innig, L-Liebevoll, L-Loyal, I-Inspirierend, N-Nahbar, G-Geliebt",
377,Schindler,"S-Stark, C-Charakterstark, H-Herzlich, I-Innig, N-Nahbar, D-Dankbar, L-Liebevoll, E-Echt, R-Respektvoll",
378,Schirmer,"S-Stark, C-Charakterstark, H-Herzlich, I-Innig, R-Respektvoll, M-Menschlich, E-Echt, R-Ruhig",
379,Schlegel,"S-Stark, C-Charakterstark, H-Herzlich, L-Liebevoll, E-Echt, G-Geliebt, E-Ehrlich, L-Loyal",
380,Schmid,"S-Stark, C-Charakterstark, H-Herzlich, M-Menschlich, I-Innig, D-Dankbar",
381,Schmidt,"S-Stark, C-Charakterstark, H-Herzlich, M-Menschlich, I-Innig, D-Dankbar, T-Treu",
382,Schmitt,"S-Stark, C-Charakterstark, H-Herzlich, M-Menschlich, I-Innig, T-Treu, T-Tatkräftig",
383,Schmitz,"S-Stark, C-Charakterstark, H-Herzlich, M-Menschlich, I-Innig, T-Treu, Z-Zusammenhaltend",
384,Schnabel,"S-Stark, C-Charakterstark, H-Herzlich, N-Nahbar, A-Achtsam, B-Beständig, E-Echt, L-Liebevoll",
385,Schneider,"S-Stark, C-Charakterstark, H-Herzlich, N-Nahbar, E-Echt, I-Innig, D-Dankbar, E-Ehrlich, R-Respektvoll",
386,Schnell,"S-Stark, C-Charakterstark, H-Herzlich, N-Nahbar, E-Echt, L-Liebevoll, L-Loyal",
387,Scholl,"S-Stark, C-Charakterstark, H-Herzlich, O-Offen, L-Liebevoll, L-Loyal",
388,Scholz,"S-Stark, C-Charakterstark, H-Herzlich, O-Offen, L-Liebevoll, Z-Zusammenhaltend",
389,Schott,"S-Stark, C-Charakterstark, H-Herzlich, O-Offen, T-Treu, T-Tatkräftig",
390,Schrader,"S-Stark, C-Charakterstark, H-Herzlich, R-Respektvoll, A-Achtsam, D-Dankbar, E-Echt, R-Ruhig",
391,Schramm,"S-Stark, C-Charakterstark, H-Herzlich, R-Respektvoll, A-Achtsam, M-Menschlich, M-Markant",
392,Schreiber,"S-Stark, C-Charakterstark, H-Herzlich, R-Respektvoll, E-Echt, I-Innig, B-Beständig, E-Ehrlich, R-Ruhig",
393,Schreiner,"S-Stark, C-Charakterstark, H-Herzlich, R-Respektvoll, E-Echt, I-Innig, N-Nahbar, E-Ehrlich, R-Ruhig",
394,Schubert,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, B-Beständig, E-Echt, R-Respektvoll, T-Treu",
395,Schuler,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, L-Liebevoll, E-Echt, R-Respektvoll",
396,Schulte,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, L-Liebevoll, T-Treu, E-Echt",
397,Schultz,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, L-Liebevoll, T-Treu, Z-Zusammenhaltend",
398,Schulz,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, L-Liebevoll, Z-Zusammenhaltend",
399,Schulze,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, L-Liebevoll, Z-Zusammenhaltend, E-Echt",
400,Schumacher,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, M-Menschlich, A-Achtsam, C-Charmant, H-Hilfsbereit, E-Echt, R-Respektvoll",
401,Schumann,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
402,Schuster,"S-Stark, C-Charakterstark, H-Herzlich, U-Unkompliziert, S-Sympathisch, T-Treu, E-Echt, R-Respektvoll",
403,Schwab,"S-Stark, C-Charakterstark, H-Herzlich, W-Warmherzig, A-Achtsam, B-Beständig",
404,Schwarz,"S-Stark, C-Charakterstark, H-Herzlich, W-Warmherzig, A-Achtsam, R-Respektvoll, Z-Zusammenhaltend",
405,Schweizer,"S-Stark, C-Charakterstark, H-Herzlich, W-Warmherzig, E-Echt, I-Innig, Z-Zusammenhaltend, E-Ehrlich, R-Respektvoll",
406,Seeger,"S-Stark, E-Echt, E-Ehrlich, G-Geliebt, E-Engagiert, R-Respektvoll",
407,Seidel,"S-Stark, E-Echt, I-Innig, D-Dankbar, E-Ehrlich, L-Liebevoll",
408,Seidl,"S-Stark, E-Echt, I-Innig, D-Dankbar, L-Liebevoll",
409,Seifert,"S-Stark, E-Echt, I-Innig, F-Familienstark, E-Ehrlich, R-Respektvoll, T-Treu",
410,Seiler,"S-Stark, E-Echt, I-Innig, L-Liebevoll, E-Ehrlich, R-Respektvoll",
411,Seitz,"S-Stark, E-Echt, I-Innig, T-Treu, Z-Zusammenhaltend",
412,Siebert,"S-Stark, I-Innig, E-Echt, B-Beständig, E-Ehrlich, R-Respektvoll, T-Treu",
413,Siegel,"S-Stark, I-Innig, E-Echt, G-Geliebt, E-Ehrlich, L-Liebevoll",
414,Sievers,"S-Stark, I-Innig, E-Echt, V-Verbunden, E-Ehrlich, R-Respektvoll, S-Sympathisch",
415,Simon,"S-Stark, I-Innig, M-Menschlich, O-Offen, N-Nahbar",
416,Singer,"S-Stark, I-Innig, N-Nahbar, G-Geliebt, E-Echt, R-Respektvoll",
417,Sommer,"S-Stark, O-Offen, M-Menschlich, M-Markant, E-Echt, R-Respektvoll",
418,Sonntag,"S-Stark, O-Offen, N-Nahbar, N-Natürlich, T-Treu, A-Achtsam, G-Geliebt",
419,Specht,"S-Stark, P-Positiv, E-Echt, C-Charakterstark, H-Herzlich, T-Treu",
420,Springer,"S-Stark, P-Positiv, R-Respektvoll, I-Innig, N-Nahbar, G-Geliebt, E-Echt, R-Ruhig",
421,Stadler,"S-Stark, T-Treu, A-Achtsam, D-Dankbar, L-Liebevoll, E-Echt, R-Respektvoll",
422,Stahl,"S-Stark, T-Treu, A-Achtsam, H-Herzlich, L-Liebevoll",
423,Stark,"S-Stark, T-Treu, A-Achtsam, R-Respektvoll, K-Kraftvoll",
424,Steffen,"S-Stark, T-Treu, E-Echt, F-Familienstark, F-Fest-verbunden, E-Ehrlich, N-Nahbar",
425,Steffens,"S-Stark, T-Treu, E-Echt, F-Familienstark, F-Fest-verbunden, E-Ehrlich, N-Nahbar, S-Sympathisch",
426,Stein,"S-Stark, T-Treu, E-Echt, I-Innig, N-Nahbar",
427,Steinbach,"S-Stark, T-Treu, E-Echt, I-Innig, N-Nahbar, B-Beständig, A-Achtsam, C-Charakterstark, H-Herzlich",
428,Steiner,"S-Stark, T-Treu, E-Echt, I-Innig, N-Nahbar, E-Ehrlich, R-Respektvoll",
429,Stephan,"S-Stark, T-Treu, E-Echt, P-Positiv, H-Herzlich, A-Achtsam, N-Nahbar",
430,Stock,"S-Stark, T-Treu, O-Offen, C-Charakterstark, K-Kraftvoll",
431,Stoll,"S-Stark, T-Treu, O-Offen, L-Liebevoll, L-Loyal",
432,Stolz,"S-Stark, T-Treu, O-Offen, L-Liebevoll, Z-Zusammenhaltend",
433,Straub,"S-Stark, T-Treu, R-Respektvoll, A-Achtsam, U-Unkompliziert, B-Beständig",
434,Strobel,"S-Stark, T-Treu, R-Respektvoll, O-Offen, B-Beständig, E-Echt, L-Liebevoll",
435,Stumpf,"S-Stark, T-Treu, U-Unkompliziert, M-Menschlich, P-Positiv, F-Familienstark",
436,Sturm,"S-Stark, T-Treu, U-Unkompliziert, R-Respektvoll, M-Menschlich",
437,Thiel,"T-Treu, H-Herzlich, I-Innig, E-Echt, L-Liebevoll",
438,Thiele,"T-Treu, H-Herzlich, I-Innig, E-Echt, L-Liebevoll, E-Ehrlich",
439,Thomas,"T-Treu, H-Herzlich, O-Offen, M-Menschlich, A-Achtsam, S-Stark",
440,Timm,"T-Treu, I-Innig, M-Menschlich, M-Markant",
441,Uhlig,"U-Unkompliziert, H-Herzlich, L-Liebevoll, I-Innig, G-Geliebt",
442,Ullrich,"U-Unkompliziert, L-Liebevoll, L-Loyal, R-Respektvoll, I-Innig, C-Charakterstark, H-Herzlich",
443,Ulrich,"U-Unkompliziert, L-Liebevoll, R-Respektvoll, I-Innig, C-Charakterstark, H-Herzlich",
444,Unger,"U-Unkompliziert, N-Nahbar, G-Geliebt, E-Echt, R-Respektvoll",
445,Urban,"U-Unkompliziert, R-Respektvoll, B-Beständig, A-Achtsam, N-Nahbar",
446,Vetter,"V-Verbunden, E-Echt, T-Treu, T-Tatkräftig, E-Ehrlich, R-Respektvoll",
447,Vogel,"V-Verbunden, O-Offen, G-Geliebt, E-Echt, L-Liebevoll",
448,Vogt,"V-Verbunden, O-Offen, G-Geliebt, T-Treu",
449,Voigt,"V-Verbunden, O-Offen, I-Innig, G-Geliebt, T-Treu",
450,Vollmer,"V-Verbunden, O-Offen, L-Liebevoll, L-Loyal, M-Menschlich, E-Echt, R-Respektvoll",
451,Voss,"V-Verbunden, O-Offen, S-Stark, S-Sympathisch",
452,Wagner,"W-Warmherzig, A-Achtsam, G-Geliebt, N-Nahbar, E-Echt, R-Respektvoll",
453,Wahl,"W-Warmherzig, A-Achtsam, H-Herzlich, L-Liebevoll",
454,Walter,"W-Warmherzig, A-Achtsam, L-Liebevoll, T-Treu, E-Echt, R-Respektvoll",
455,Walther,"W-Warmherzig, A-Achtsam, L-Liebevoll, T-Treu, H-Herzlich, E-Echt, R-Respektvoll",
456,Walz,"W-Warmherzig, A-Achtsam, L-Liebevoll, Z-Zusammenhaltend",
457,Weber,"W-Warmherzig, E-Echt, B-Beständig, E-Ehrlich, R-Respektvoll",
458,Wegener,"W-Warmherzig, E-Echt, G-Geliebt, E-Ehrlich, N-Nahbar, E-Engagiert, R-Respektvoll",
459,Wegner,"W-Warmherzig, E-Echt, G-Geliebt, N-Nahbar, E-Ehrlich, R-Respektvoll",
460,Weidner,"W-Warmherzig, E-Echt, I-Innig, D-Dankbar, N-Nahbar, E-Ehrlich, R-Respektvoll",
461,Weigel,"W-Warmherzig, E-Echt, I-Innig, G-Geliebt, E-Ehrlich, L-Liebevoll",
462,Weis,"W-Warmherzig, E-Echt, I-Innig, S-Stark",
463,Weise,"W-Warmherzig, E-Echt, I-Innig, S-Stark, E-Ehrlich",
464,Weiss,"W-Warmherzig, E-Echt, I-Innig, S-Stark, S-Sympathisch",
465,Weller,"W-Warmherzig, E-Echt, L-Liebevoll, L-Loyal, E-Ehrlich, R-Respektvoll",
466,Wendt,"W-Warmherzig, E-Echt, N-Nahbar, D-Dankbar, T-Treu",
467,Wenzel,"W-Warmherzig, E-Echt, N-Nahbar, Z-Zusammenhaltend, E-Ehrlich, L-Liebevoll",
468,Werner,"W-Warmherzig, E-Echt, R-Respektvoll, N-Nahbar, E-Ehrlich, R-Ruhig",
469,Westphal,"W-Warmherzig, E-Echt, S-Stark, T-Treu, P-Positiv, H-Herzlich, A-Achtsam, L-Liebevoll",
470,Wetzel,"W-Warmherzig, E-Echt, T-Treu, Z-Zusammenhaltend, E-Ehrlich, L-Liebevoll",
471,Wichmann,"W-Warmherzig, I-Innig, C-Charakterstark, H-Herzlich, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
472,Wiedemann,"W-Wrmherziag, I-Innig, E-Echt, D-Dankbar, E-Ehrlich, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
473,Wiegand,"W-Warmherzig, I-Innig, E-Echt, G-Geliebt, A-Achtsam, N-Nahbar, D-Dankbar",
474,Wieland,"W-Warmherzig, I-Innig, E-Echt, L-Liebevoll, A-Achtsam, N-Nahbar, D-Dankbar",
475,Wiese,"W-Warmherzig, I-Innig, E-Echt, S-Stark, E-Ehrlich",
476,Wiesner,"W-Warmherzig, I-Innig, E-Echt, S-Stark, N-Nahbar, E-Ehrlich, R-Respektvoll",
477,Wild,"W-Warmherzig, I-Innig, L-Liebevoll, D-Dankbar",
478,Wilhelm,"W-Warmherzig, I-Innig, L-Liebevoll, H-Herzlich, E-Echt, L-Loyal, M-Menschlich",
479,Wilke,"W-Warmherzig, I-Innig, L-Liebevoll, K-Kraftvoll, E-Echt",
480,Will,"W-Warmherzig, I-Innig, L-Liebevoll, L-Loyal",
481,Wimmer,"W-Warmherzig, I-Innig, M-Menschlich, M-Markant, E-Echt, R-Respektvoll",
482,Winkelmann,"W-Warmherzig, I-Innig, N-Nahbar, K-Kraftvoll, E-Echt, L-Liebevoll, M-Menschlich, A-Achtsam, N-Natürlich, N-Nett",
483,Winkler,"W-Warmherzig, I-Innig, N-Nahbar, K-Kraftvoll, L-Liebevoll, E-Echt, R-Respektvoll",
484,Winter,"W-Warmherzig, I-Innig, N-Nahbar, T-Treu, E-Echt, R-Respektvoll",
485,Wirth,"W-Warmherzig, I-Innig, R-Respektvoll, T-Treu, H-Herzlich",
486,Wirtz,"W-Warmherzig, I-Innig, R-Respektvoll, T-Treu, Z-Zusammenhaltend",
487,Witt,"W-Warmherzig, I-Innig, T-Treu, T-Tatkräftig",
488,Witte,"W-Warmherzig, I-Innig, T-Treu, T-Tatkräftig, E-Echt",
489,Wittmann,"W-Warmherzig, I-Innig, T-Treu, T-Tatkräftig, M-Menschlich, A-Achtsam, N-Nahbar, N-Natürlich",
490,Wolf,"W-Warmherzig, O-Offen, L-Liebevoll, F-Familienstark",
491,Wolff,"W-Warmherzig, O-Offen, L-Liebevoll, F-Familienstark, F-Fest-verbunden",
492,Wolter,"W-Warmherzig, O-Offen, L-Liebevoll, T-Treu, E-Echt, R-Respektvoll",
493,Wulf,"W-Warmherzig, U-Unkompliziert, L-Liebevoll, F-Familienstark",
494,Wunderlich,"W-Warmherzig, U-Unkompliziert, N-Nahbar, D-Dankbar, E-Echt, R-Respektvoll, L-Liebevoll, I-Innig, C-Charakterstark, H-Herzlich",
495,Zahn,"Z-Zusammenhaltend, A-Achtsam, H-Herzlich, N-Nahbar",
496,Zander,"Z-Zusammenhaltend, A-Achtsam, N-Nahbar, D-Dankbar, E-Echt, R-Respektvoll",
497,Zeller,"Z-Zusammenhaltend, E-Echt, L-Liebevoll, L-Loyal, E-Ehrlich, R-Respektvoll",
498,Ziegler,"Z-Zusammenhaltend, I-Innig, E-Echt, G-Geliebt, L-Liebevoll, E-Ehrlich, R-Respektvoll",
499,Zimmer,"Z-Zusammenhaltend, I-Innig, M-Menschlich, M-Markant, E-Echt, R-Respektvoll",
500,Zimmermann,"Z-Zusammenhaltend, I-Innig, M-Menschlich, M-Markant, E-Echt, R-Respektvoll, M-Mitfühlend, A-Achtsam, N-Nahbar, N-Natürlich",
